Season,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeElo,AwayElo,EloDiff,Home_PPG_Last5,Away_PPG_Last5,Home_GoalsScored_Last5,Away_GoalsScored_Last5,Home_GoalsConceded_Last5,Away_GoalsConceded_Last5,Home_Shots_Last5,Away_Shots_Last5,Home_ShotsAllowed_Last5,Away_ShotsAllowed_Last5,Home_SOT_Last5,Away_SOT_Last5,Home_SOTAllowed_Last5,Away_SOTAllowed_Last5,Home_OppAvgElo_Last5,Away_OppAvgElo_Last5,PPG_Last5_Diff,Goals_Last5_Diff,GoalsConceded_Last5_Diff,Shots_Last5_Diff,SOT_Last5_Diff,ShotDiff_Last5_Diff,HomeRestDays,AwayRestDays,RestDiff
2020/21,2020-10-04,Aston Villa,Liverpool,7,2,H,18,14,11,8,1518.86,1529.98,-11.12,3.00,3.00,2.00,3.00,0.00,1.33,15.00,20.33,10.00,5.00,3.50,6.67,2.00,3.00,1485.00,1509.81,0.00,-1.00,-1.33,-5.33,-3.17,-10.33,6,6,0
2020/21,2020-10-17,Everton,Liverpool,2,2,D,11,22,5,8,1538.31,1519.66,18.65,3.00,2.25,3.00,2.75,1.25,2.75,13.25,18.75,8.50,8.25,5.50,7.00,3.25,5.00,1500.00,1512.07,0.75,0.25,-1.50,-5.50,-1.50,-5.75,14,13,1
2020/21,2020-10-17,Chelsea,Southampton,3,3,D,11,13,5,6,1509.74,1500.03,9.70,1.75,1.50,2.50,1.25,1.50,1.50,13.50,10.25,11.00,7.25,6.00,5.00,3.00,3.25,1500.07,1490.36,0.25,1.25,0.00,3.25,1.00,-0.50,14,13,1
2020/21,2020-10-17,Man City,Arsenal,1,0,H,13,11,5,3,1500.81,1518.34,-17.52,1.33,2.25,2.00,2.00,2.33,1.25,17.67,7.50,9.67,11.50,5.33,4.25,5.00,3.75,1513.05,1495.21,-0.92,0.00,1.08,10.17,1.08,12.00,14,13,1
2020/21,2020-10-17,Newcastle,Man United,1,4,A,7,28,4,14,1508.88,1490.57,18.32,1.75,1.00,1.50,1.67,1.25,3.67,9.25,8.33,14.50,18.00,2.00,3.00,6.00,6.00,1492.50,1503.52,0.75,-0.17,-2.42,0.92,-1.00,4.42,14,13,1
2020/21,2020-10-18,Sheffield United,Fulham,1,1,D,10,15,6,6,1461.96,1461.38,0.58,0.00,0.00,0.25,0.75,1.50,2.75,8.25,11.25,13.00,12.25,2.25,3.25,5.00,5.75,1502.36,1497.22,0.00,-0.50,-1.25,-3.00,-1.00,-3.75,14,14,0
2020/21,2020-10-18,Crystal Palace,Brighton,1,1,D,1,20,1,3,1499.41,1481.40,18.01,1.50,0.75,1.25,2.00,1.75,2.50,7.75,13.75,12.25,8.50,2.25,4.25,5.00,3.50,1504.72,1507.43,0.75,-0.75,-0.75,-6.00,-2.00,-9.75,15,15,0
2020/21,2020-10-18,Tottenham,West Ham,3,3,D,11,13,6,4,1510.00,1502.22,7.78,1.75,1.50,3.00,2.00,1.25,1.00,15.75,14.50,10.00,9.25,7.75,4.75,3.50,1.75,1497.50,1509.79,0.25,1.00,0.25,1.25,3.00,0.50,14,14,0
2020/21,2020-10-18,Leicester,Aston Villa,0,1,A,11,10,5,4,1518.34,1529.18,-10.84,2.25,3.00,3.00,3.67,1.75,0.67,9.50,16.00,13.25,11.33,5.00,6.00,4.25,4.00,1500.36,1499.99,-0.75,-0.67,1.08,-6.50,-1.00,-8.42,14,14,0
2020/21,2020-10-19,West Brom,Burnley,0,0,D,13,9,6,4,1471.40,1470.55,0.85,0.25,0.00,1.25,1.00,3.25,2.67,6.75,11.00,16.25,9.67,2.50,3.33,7.75,4.00,1500.08,1496.48,0.25,0.25,0.58,-4.25,-0.83,-10.83,15,16,-1
2020/21,2020-10-19,Leeds,Wolves,0,1,A,13,7,2,3,1509.18,1498.64,10.54,1.75,1.50,2.25,1.00,2.00,1.75,11.25,11.50,18.25,12.00,6.50,3.00,4.50,5.00,1492.71,1487.86,0.25,1.25,0.25,-0.25,3.50,-6.50,16,15,1
2020/21,2020-10-23,Aston Villa,Leeds,0,3,A,12,27,4,9,1538.87,1498.87,39.99,3.00,1.40,3.00,1.80,0.50,1.80,14.50,11.60,11.25,16.00,5.50,5.60,4.25,4.20,1504.58,1493.90,1.60,1.20,-1.30,2.90,-0.10,7.65,5,4,1
2020/21,2020-10-24,West Ham,Man City,1,1,D,6,14,2,7,1502.45,1511.32,-8.87,1.40,1.75,2.20,1.75,1.40,1.75,14.20,16.50,9.60,10.00,4.60,5.25,2.60,4.50,1509.83,1514.37,-0.35,0.45,-0.35,-2.30,-0.65,-1.90,6,7,-1
2020/21,2020-10-24,Fulham,Crystal Palace,1,2,A,16,14,3,10,1461.40,1498.89,-37.49,0.20,1.40,0.80,1.20,2.40,1.60,12.00,6.40,11.80,13.80,3.80,2.00,5.80,4.60,1490.17,1500.05,-1.20,-0.40,0.80,5.60,1.80,7.60,6,6,0
2020/21,2020-10-24,Man United,Chelsea,0,0,D,14,6,4,1,1501.09,1509.46,-8.36,1.50,1.60,2.25,2.60,3.00,1.80,13.25,13.00,15.25,11.40,5.75,5.80,5.50,3.60,1504.86,1500.06,-0.10,-0.35,1.20,0.25,-0.05,-3.60,7,7,0
2020/21,2020-10-24,Liverpool,Sheffield United,2,1,H,17,13,5,2,1520.20,1461.94,58.26,2.00,0.20,2.60,0.40,2.60,1.40,19.40,8.60,8.80,13.40,7.20,3.00,5.00,5.20,1517.32,1494.16,1.80,2.20,1.20,10.80,4.20,15.40,7,6,1
2020/21,2020-10-25,Southampton,Everton,2,0,H,12,6,6,2,1500.31,1537.77,-37.46,1.40,2.60,1.60,2.80,1.80,1.40,10.80,12.80,8.00,11.20,5.20,5.40,3.60,4.20,1494.23,1503.93,-1.20,-1.20,0.40,-2.00,-0.20,1.20,8,8,0
2020/21,2020-10-25,Wolves,Newcastle,1,1,D,16,5,3,2,1508.94,1498.36,10.58,1.80,1.40,1.00,1.40,1.40,1.80,10.60,8.80,12.20,17.20,3.00,2.40,4.40,7.60,1492.12,1492.11,0.40,-0.40,-0.40,1.80,0.60,6.80,6,8,-2
2020/21,2020-10-25,Arsenal,Leicester,0,1,A,12,6,4,2,1507.83,1508.65,-0.82,1.80,1.80,1.60,2.40,1.20,1.60,8.20,9.80,11.80,12.60,4.00,5.00,4.00,4.20,1496.33,1506.12,0.00,-0.80,-0.40,-1.60,-1.00,-0.80,8,7,1
2020/21,2020-10-26,Brighton,West Brom,1,1,D,5,9,3,3,1481.92,1471.37,10.55,0.80,0.40,1.80,1.00,2.20,2.60,15.00,8.00,7.00,14.80,4.00,3.20,3.00,7.00,1505.83,1494.17,0.40,0.80,-0.40,7.00,0.80,14.80,8,7,1
2020/21,2020-10-26,Burnley,Tottenham,0,1,A,13,9,4,3,1470.58,1509.78,-39.20,0.25,1.60,0.75,3.00,2.00,1.60,10.50,14.80,10.50,10.60,3.50,7.40,4.50,3.60,1490.21,1498.44,-1.35,-2.25,0.40,-4.30,-3.90,-4.20,7,8,-1
2020/21,2020-10-30,Wolves,Crystal Palace,2,0,H,15,11,5,2,1508.63,1507.82,0.82,1.40,1.40,0.80,1.40,1.60,1.80,11.60,8.20,11.40,15.20,2.80,3.40,4.40,4.20,1491.79,1492.33,0.00,-0.60,-0.20,3.40,-0.60,7.20,5,6,-1
2020/21,2020-10-31,Sheffield United,Man City,0,1,A,5,16,1,8,1453.61,1511.06,-57.46,0.20,1.60,0.60,1.60,1.40,1.60,9.40,16.00,14.60,9.20,3.00,5.60,5.40,4.00,1498.20,1511.99,-1.40,-1.00,-0.20,-6.60,-2.60,-12.00,7,7,0
2020/21,2020-10-31,Burnley,Chelsea,0,3,A,5,14,0,9,1461.70,1509.22,-47.52,0.20,1.20,0.60,2.00,1.80,1.60,11.00,12.20,10.20,11.60,3.60,5.00,4.20,3.80,1494.12,1500.28,-1.00,-1.40,0.20,-1.20,-1.40,0.20,5,7,-2
2020/21,2020-10-31,Liverpool,West Ham,2,1,H,9,4,5,3,1528.54,1502.70,25.84,2.00,1.60,2.20,2.40,2.20,1.20,18.40,12.40,10.20,9.40,7.00,4.40,4.80,3.60,1509.71,1512.09,0.40,-0.20,1.00,6.00,2.60,5.20,7,7,0
2020/21,2020-11-01,Aston Villa,Southampton,3,4,A,19,9,10,4,1527.72,1511.39,16.34,2.40,2.00,2.40,2.00,1.00,1.60,14.00,11.40,14.40,8.20,5.20,5.40,5.20,3.40,1503.44,1501.79,0.40,0.40,-0.60,2.60,-0.20,-3.60,9,7,2
2020/21,2020-11-01,Newcastle,Everton,2,1,H,11,15,4,4,1498.66,1526.70,-28.04,1.00,2.00,1.20,2.60,2.00,1.80,6.80,11.00,17.40,11.80,2.40,5.00,7.60,4.40,1493.90,1503.99,-1.00,-1.40,0.20,-4.20,-2.60,-9.80,7,7,0
2020/21,2020-11-01,Man United,Arsenal,0,1,A,8,7,2,2,1501.33,1497.86,3.48,1.40,1.20,1.80,1.00,2.40,1.40,13.40,8.00,13.40,12.00,5.40,3.60,4.60,4.00,1505.78,1498.06,0.20,0.80,1.00,5.40,1.80,4.00,8,7,1
2020/21,2020-11-01,Tottenham,Brighton,2,1,H,9,6,3,2,1518.65,1481.62,37.04,2.20,1.00,3.20,1.80,1.40,1.80,14.80,13.40,10.20,6.80,7.00,4.00,3.60,2.60,1492.56,1500.10,1.20,1.40,-0.40,1.40,3.00,-2.00,6,6,0
2020/21,2020-11-02,Fulham,West Brom,2,0,H,13,10,6,1,1452.47,1471.68,-19.20,0.20,0.60,1.00,1.20,2.20,2.20,14.20,8.40,12.00,13.20,4.00,3.60,6.60,6.20,1489.94,1490.55,-0.40,-0.20,0.00,5.80,0.40,7.00,9,7,2
2020/21,2020-11-02,Leeds,Leicester,1,4,A,11,10,4,8,1510.02,1518.63,-8.61,2.00,1.80,1.80,2.00,1.00,1.60,15.80,8.40,14.00,13.60,6.80,4.00,3.80,4.80,1501.67,1507.69,0.20,-0.20,-0.60,7.40,2.80,7.00,10,8,2
2020/21,2020-11-06,Brighton,Burnley,0,0,D,19,4,3,1,1472.68,1453.06,19.62,0.40,0.20,1.40,0.20,2.20,1.60,12.00,8.80,7.40,10.20,3.20,2.60,3.20,4.80,1501.83,1493.97,0.20,1.20,0.60,3.20,0.60,6.00,5,6,-1
2020/21,2020-11-06,Southampton,Newcastle,2,0,H,15,4,8,2,1521.86,1509.47,12.39,2.60,1.60,2.40,1.60,1.20,1.60,10.40,7.80,10.20,17.80,4.80,3.20,4.20,7.20,1509.33,1501.24,1.00,0.80,-0.40,2.60,1.60,10.20,5,5,0
2020/21,2020-11-07,Everton,Man United,1,3,A,7,13,1,5,1515.90,1491.23,24.66,1.40,1.40,1.80,1.60,1.80,2.00,10.60,12.40,12.80,12.00,4.40,5.00,4.40,4.00,1505.72,1503.35,0.00,0.20,-0.20,-1.80,-0.60,-2.60,6,6,0
2020/21,2020-11-07,Crystal Palace,Leeds,4,1,H,10,9,6,3,1497.84,1500.27,-2.43,0.80,1.40,0.80,1.20,2.00,1.20,7.60,16.00,15.60,13.20,2.80,6.20,4.40,4.20,1494.06,1507.40,-0.60,-0.40,0.80,-8.40,-3.40,-10.80,8,5,3
2020/21,2020-11-07,Chelsea,Sheffield United,4,1,H,20,6,9,3,1517.86,1445.24,72.61,1.80,0.20,2.60,0.60,1.20,1.40,14.00,9.60,9.00,14.20,6.20,3.00,2.60,6.60,1490.62,1500.42,1.60,2.00,-0.20,4.40,3.20,9.60,7,7,0
2020/21,2020-11-07,West Ham,Fulham,1,0,H,16,13,7,3,1493.44,1463.02,30.42,1.60,0.80,2.40,0.80,1.20,1.40,10.40,14.00,9.80,12.00,4.40,4.00,4.00,5.40,1515.80,1486.28,0.80,1.60,-0.20,-3.60,0.40,-1.40,7,5,2
2020/21,2020-11-08,West Brom,Tottenham,0,1,A,12,19,2,5,1461.12,1527.59,-66.47,0.60,2.20,0.80,2.60,1.60,1.20,9.20,14.80,12.40,8.60,3.00,6.40,6.00,2.60,1479.05,1490.88,-1.60,-1.80,0.40,-5.60,-3.40,-9.40,6,7,-1
2020/21,2020-11-08,Leicester,Wolves,1,0,H,10,7,3,2,1528.38,1518.61,9.77,1.80,2.00,2.00,1.00,1.40,1.00,7.60,12.60,12.60,10.80,4.40,3.60,4.60,3.00,1509.69,1493.36,-0.20,1.00,0.40,-5.00,0.80,-6.80,6,9,-3
2020/21,2020-11-08,Man City,Liverpool,1,1,D,7,10,2,3,1519.42,1537.80,-18.37,1.60,2.00,1.20,2.20,1.40,2.40,16.40,16.60,8.20,10.00,5.40,6.80,4.00,4.80,1500.71,1508.25,-0.40,-1.00,-1.00,-0.20,-1.40,1.60,8,8,0
2020/21,2020-11-08,Arsenal,Aston Villa,0,3,A,13,15,2,6,1507.96,1517.25,-9.30,1.20,1.80,0.80,2.80,1.20,1.80,8.00,14.20,10.80,15.40,3.40,6.80,3.80,5.80,1500.33,1507.72,-0.60,-2.00,-0.60,-6.20,-3.40,-1.60,7,7,0
2020/21,2020-11-21,Newcastle,Chelsea,0,2,A,8,14,1,3,1499.82,1525.80,-25.98,1.40,2.20,1.40,2.80,1.80,0.80,7.40,13.60,16.20,8.40,3.40,6.00,6.40,2.60,1505.61,1483.55,-0.80,-1.40,1.00,-6.20,-2.60,-14.00,15,14,1
2020/21,2020-11-21,Aston Villa,Brighton,1,2,A,15,7,4,3,1526.98,1472.11,54.87,1.80,0.60,2.80,1.00,1.80,1.60,14.80,12.20,14.80,6.80,7.00,2.80,5.60,2.80,1513.31,1494.38,1.20,1.80,0.20,2.60,4.20,-5.40,13,15,-2
2020/21,2020-11-21,Tottenham,Man City,2,0,H,4,22,2,5,1535.70,1519.95,15.75,2.60,1.80,2.60,1.00,1.00,0.60,14.00,14.60,9.80,8.80,5.00,4.80,2.80,3.20,1483.22,1504.33,0.80,1.60,0.40,-0.60,0.20,-1.60,13,13,0
2020/21,2020-11-21,Man United,West Brom,1,0,H,17,7,7,2,1501.94,1453.01,48.93,1.40,0.40,1.60,0.20,1.80,1.20,13.60,9.80,9.80,11.80,5.40,2.80,3.20,5.00,1506.42,1484.57,1.00,1.40,0.60,3.80,2.60,5.80,14,13,1
2020/21,2020-11-22,Fulham,Everton,2,3,A,14,9,6,7,1453.90,1505.19,-51.29,0.80,0.80,0.80,1.60,1.00,2.20,13.40,10.00,12.80,13.80,4.00,3.60,5.80,5.20,1483.03,1500.03,0.00,-0.80,-1.20,3.40,0.40,4.40,15,15,0
2020/21,2020-11-22,Sheffield United,West Ham,0,1,A,9,15,5,3,1437.30,1502.57,-65.27,0.20,1.60,0.80,1.80,2.00,1.20,8.00,10.60,14.80,10.20,2.80,4.40,6.60,4.20,1503.99,1508.46,-1.40,-1.00,0.80,-2.60,-1.60,-7.20,15,15,0
